================================================================================
PL 0443  |  PGU-DE-0443_BOP Piping_Field Run(1차분)_CLPL(Rev.1).xlsx
================================================================================
  BOP-FDR-001                   PL:  2건/    106EA  v16:  2행/    106EA
  BOP-FDR-002                   PL:  1건/     39EA  v16:  1행/     39EA
  BOP-FDR-003                   PL:  3건/     22EA  v16:  3행/     22EA
  BOP-FDR-004                   PL:  3건/     11EA  v16:  3행/     11EA
  BOP-FDR-005                   PL:  1건/      3EA  v16:  1행/      3EA
  BOP-FDR-006                   PL:  1건/      8EA  v16:  1행/      8EA
  BOP-FDR-007                   PL:  1건/      8EA  v16:  1행/      8EA
  BOP-FDR-008                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-009                   PL:  1건/     64EA  v16:  1행/     64EA
  BOP-FDR-010                   PL:  2건/     54EA  v16:  2행/     54EA
  BOP-FDR-011                   PL:  1건/     72EA  v16:  1행/     72EA
  BOP-FDR-012                   PL:  2건/     37EA  v16:  2행/     37EA
  BOP-FDR-013                   PL:  2건/     17EA  v16:  2행/     17EA
  BOP-FDR-014                   PL:  3건/     36EA  v16:  3행/     36EA
  BOP-FDR-015                   PL:  1건/      8EA  v16:  1행/      8EA
  BOP-FDR-016                   PL:  1건/     57EA  v16:  1행/     57EA
  BOP-FDR-017                   PL:  1건/     11EA  v16:  1행/     11EA
  BOP-FDR-018                   PL:  1건/    118EA  v16:  1행/    118EA
  BOP-FDR-019                   PL:  1건/      8EA  v16:  1행/      8EA
  BOP-FDR-020                   PL:  1건/      8EA  v16:  1행/      8EA
  BOP-FDR-021                   PL:  2건/     12EA  v16:  2행/     12EA
  BOP-FDR-022                   PL:  7건/    123EA  v16:  7행/    123EA
  BOP-FDR-023                   PL:  7건/     67EA  v16:  7행/     67EA
  BOP-FDR-024                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-025                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-026                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-027                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-028                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-029                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-030                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-031                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-032                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-033                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-034                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-035                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-036                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-037                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-038                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-039                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-040                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-041                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-042                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-043                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-044                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-045                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-046                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-047                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-048                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-049                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-050                   PL:  1건/     10EA  v16:  1행/     10EA
  BOP-FDR-051                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-052                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-053                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-054                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-055                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-056                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-057                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-058                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-059                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-060                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-061                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-062                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-063                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-064                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-065                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-066                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-067                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-068                   PL:  1건/      3EA  v16:  1행/      3EA
  BOP-FDR-069                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-070                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-071                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-072                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-073                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-074                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-075                   PL:  2건/      3EA  v16:  2행/      3EA
  BOP-FDR-076                   PL:  1건/     19EA  v16:  1행/     19EA
  BOP-FDR-077                   PL:  1건/     22EA  v16:  1행/     22EA
  BOP-FDR-078                   PL:  1건/     22EA  v16:  1행/     22EA
  BOP-FDR-079                   PL:  1건/     26EA  v16:  1행/     26EA
  BOP-FDR-080                   PL:  1건/     28EA  v16:  1행/     28EA
  BOP-FDR-081                   PL:  1건/     29EA  v16:  1행/     29EA
  BOP-FDR-082                   PL:  1건/     23EA  v16:  1행/     23EA
  BOP-FDR-083                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-084                   PL:  1건/     23EA  v16:  1행/     23EA
  BOP-FDR-085                   PL:  1건/     19EA  v16:  1행/     19EA
  BOP-FDR-086                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-087                   PL:  2건/     27EA  v16:  2행/     27EA
  BOP-FDR-088                   PL:  1건/     38EA  v16:  1행/     38EA
  BOP-FDR-089                   PL:  1건/     35EA  v16:  1행/     35EA
  BOP-FDR-090                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-091                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-092                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-093                   PL:  2건/     19EA  v16:  2행/     19EA
  BOP-FDR-094                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-095                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-096                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-097                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-098                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-099                   PL:  1건/     54EA  v16:  1행/     54EA
  BOP-FDR-100                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-101                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-102                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-103                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-104                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-105                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-106                   PL:  1건/      3EA  v16:  1행/      3EA
  BOP-FDR-107                   PL:  2건/      9EA  v16:  2행/      9EA
  BOP-FDR-108                   PL:  2건/      9EA  v16:  2행/      9EA
  BOP-FDR-109                   PL:  2건/      4EA  v16:  2행/      4EA
  BOP-FDR-110                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-111                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-112                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-113                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-114                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-115                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-116                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-117                   PL:  1건/     12EA  v16:  1행/     12EA
  BOP-FDR-118                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-FDR-119                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-120                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-121                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-122                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-123                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-124                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-125                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-126                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-127                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-128                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-129                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-130                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-131                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-132                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-133                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-134                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-135                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-136                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-137                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-138                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-139                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-140                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-141                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-142                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-143                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-144                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-145                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-146                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-147                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-148                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-149                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-150                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-151                   PL:  1건/      2EA  v16:  1행/      2EA
  BOP-FDR-152                   PL:  2건/      6EA  v16:  2행/      6EA
  BOP-FDR-153                   PL:  1건/     30EA  v16:  1행/     30EA
  BOP-FDR-154                   PL:  1건/     22EA  v16:  1행/     22EA
  BOP-FDR-155                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-156                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-157                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-158                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-159                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-160                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-161                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-162                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-163                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-164                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-165                   PL:  2건/     20EA  v16:  2행/     20EA
  BOP-FDR-166                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-167                   PL:  1건/     20EA  v16:  1행/     20EA
  BOP-FDR-168                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-169                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-170                   PL:  1건/      2EA  v16:  1행/      2EA
  BOP-FDR-171                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-172                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-173                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-174                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-175                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-176                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-177                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-178                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-179                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-180                   PL:  1건/      6EA  v16:  1행/      6EA
  BOP-FDR-181                   PL:  1건/      2EA  v16:  1행/      2EA
  BOP-FDR-182                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-FDR-183                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-FDR-184                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-FDR-185                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-FDR-186                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-FDR-187                   PL:  1건/      4EA  v16:  1행/      4EA
  BOP-FDR-188                   PL:  1건/      1EA  v16:  1행/      1EA
  BOP-FDR-189                   PL:  1건/     77EA  v16:  1행/     77EA
  BOP-FDR-190                   PL:  2건/     69EA  v16:  2행/     69EA
  BOP-FDR-191                   PL:  1건/     64EA  v16:  1행/     64EA
  BOP-FDR-192                   PL:  1건/     18EA  v16:  1행/     18EA
  BOP-FDR-193                   PL:  1건/     18EA  v16:  1행/     18EA
  BOP-FDR-194                   PL:  1건/     38EA  v16:  1행/     38EA
  BOP-FDR-195                   PL:  2건/    240EA  v16:  2행/    240EA
  BOP-FDR-196                   PL:  2건/     26EA  v16:  2행/     26EA
  BOP-FDR-197                   PL:  2건/     26EA  v16:  2행/     26EA
  BOP-FDR-198                   PL:  2건/     26EA  v16:  2행/     26EA
  BOP-FDR-199                   PL:  3건/     29EA  v16:  3행/     29EA
  BOP-FDR-200                   PL:  5건/     49EA  v16:  5행/     49EA
  BOP-FDR-201                   PL: 12건/     29EA  v16: 12행/     29EA
  BOP-FDR-202                   PL:  2건/     11EA  v16:  2행/     11EA
  BOP-FDR-203                   PL: 12건/     35EA  v16: 12행/     35EA
  BOP-FDR-204                   PL:  1건/      3EA  v16:  1행/      3EA
  BOP-FDR-205                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-206                   PL: 15건/     30EA  v16: 15행/     30EA
  BOP-FDR-207                   PL: 12건/     41EA  v16: 12행/     41EA
  BOP-FDR-208                   PL:  2건/     14EA  v16:  2행/     14EA
  BOP-FDR-209                   PL:  2건/     81EA  v16:  2행/     81EA
  BOP-FDR-210                   PL: 16건/    198EA  v16: 16행/    198EA
  >>> 결과: 총 210패키지  OK=210  DIFF=0  MISSING=0

================================================================================
PL 0503  |  PGU-DE-0503_BOP Piping_Field Run_CIPL(Rev.4).xlsx
================================================================================
  BOP-PIP-001                   PL:  1건/     98EA  v16:  1행/     98EA
  BOP-PIP-0010                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0011                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0012                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0013                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0014                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0015                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0016                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0017                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0018                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0019                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-002                   PL:  1건/     95EA  v16:  1행/     95EA
  BOP-PIP-0020                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0021                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0022                  PL:  1건/     40EA  v16:  1행/     40EA
  BOP-PIP-0023                  PL:  1건/     33EA  v16:  1행/     33EA
  BOP-PIP-0024                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0025                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0026                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0027                  PL:  1건/     28EA  v16:  1행/     28EA
  BOP-PIP-0028                  PL:  1건/    144EA  v16:  1행/    144EA
  BOP-PIP-0029                  PL:  6건/    141EA  v16:  6행/    141EA
  BOP-PIP-003                   PL:  2건/     93EA  v16:  2행/     93EA
  BOP-PIP-0030                  PL:  1건/    110EA  v16:  1행/    110EA
  BOP-PIP-0031                  PL:  3건/     60EA  v16:  3행/     60EA
  BOP-PIP-0032                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0033                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0034                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0035                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0036                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0037                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0038                  PL:  1건/     60EA  v16:  1행/     60EA
  BOP-PIP-0039                  PL:  4건/     22EA  v16:  4행/     22EA
